Month,Borough,Major Category,Minor Category,Count
201701,Ealing,Fraud & Forgery,Other Fraud & Forgery,4
201701,Ealing,Other Notifiable Offences,Going Equipped,2
201701,Ealing,Other Notifiable Offences,Other Notifiable,39
201701,Ealing,Robbery,Business Property,8
201701,Ealing,Robbery,Personal Property,35
201701,Ealing,Sexual Offences,Other Sexual,28
201701,Ealing,Sexual Offences,Rape,21
201701,Ealing,Theft & Handling,Handling Stolen Goods,4
201701,Ealing,Theft & Handling,Motor Vehicle Interference & Tampering,26
201701,Ealing,Theft & Handling,Other Theft,270
201701,Ealing,Theft & Handling,Theft From Motor Vehicle,164
201701,Ealing,Theft & Handling,Theft From Shops,178
201701,Ealing,Theft & Handling,Theft Person,52
201701,Ealing,Theft & Handling,Theft/Taking Of Motor Vehicle,68
201701,Ealing,Theft & Handling,Theft/Taking Of Pedal Cycle,34
201701,Ealing,Violence Against The Person,Assault With Injury,130
201701,Ealing,Violence Against The Person,Common Assault,209
201701,Ealing,Violence Against The Person,Harassment,232
201701,Ealing,Violence Against The Person,Offensive Weapon,11
201701,Ealing,Violence Against The Person,Other Violence,22
201701,Ealing,Violence Against The Person,Wounding/GBH,58
201701,Enfield,Burglary,Burglary In A Dwelling,155
201701,Enfield,Burglary,Burglary In Other Buildings,49
201701,Enfield,Criminal Damage,Criminal Damage To Dwelling,40
201701,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,59
201701,Enfield,Criminal Damage,Criminal Damage To Other Building,14
201701,Enfield,Criminal Damage,Other Criminal Damage,42
201701,Enfield,Drugs,Drug Trafficking,3
201701,Enfield,Drugs,Other Drugs,1
201701,Enfield,Drugs,Possession Of Drugs,57
201701,Enfield,Fraud & Forgery,Other Fraud & Forgery,5
201701,Enfield,Other Notifiable Offences,Going Equipped,3
201701,Enfield,Other Notifiable Offences,Other Notifiable,35
201701,Enfield,Robbery,Business Property,5
201701,Enfield,Robbery,Personal Property,68
201701,Enfield,Sexual Offences,Other Sexual,37
201701,Enfield,Sexual Offences,Rape,20
201701,Enfield,Theft & Handling,Handling Stolen Goods,2
201701,Enfield,Theft & Handling,Motor Vehicle Interference & Tampering,40
201701,Enfield,Theft & Handling,Other Theft,206
201701,Enfield,Theft & Handling,Theft From Motor Vehicle,175
201701,Enfield,Theft & Handling,Theft From Shops,89
201701,Enfield,Theft & Handling,Theft Person,41
201701,Enfield,Theft & Handling,Theft/Taking Of Motor Vehicle,93
201701,Enfield,Theft & Handling,Theft/Taking Of Pedal Cycle,13
201701,Enfield,Violence Against The Person,Assault With Injury,136
201701,Enfield,Violence Against The Person,Common Assault,144
201701,Enfield,Violence Against The Person,Harassment,196
201701,Enfield,Violence Against The Person,Offensive Weapon,8
201701,Enfield,Violence Against The Person,Other Violence,16
201701,Enfield,Violence Against The Person,Wounding/GBH,47
